Time,Dist,Measured
5,35,868
5,35,872
5,35,868
5,35,868
5,35,867
5,35,872
5,35,867
5,35,867
5,35,871
5,35,867
5,35,867
5,35,867
5,35,867
5,35,867
5,35,870
5,35,867
5,35,879
5,35,870
5,35,871
5,35,871
5,35,879
5,35,870
5,35,883
5,35,875
5,35,883
5,35,879
5,35,870
5,35,883
5,35,870
5,35,875
5,35,883
5,35,879
5,35,879
5,35,892
5,35,879
5,35,879
6,35,879
6,35,879
6,35,883
6,35,883
6,35,879
6,35,879
6,35,878
6,35,883
6,35,874
6,35,874
6,35,875
6,35,883
6,35,874
6,35,887
6,35,874
6,35,883
6,35,874
6,35,874
6,35,874
6,35,874
6,35,874
6,35,882
6,35,870
6,35,878
6,35,887
6,35,874
6,35,875
6,35,883
6,35,875
6,35,874
6,35,874
6,35,874
6,35,887
6,35,879
6,35,883
6,35,874
6,35,878
6,35,874
6,35,870
6,35,878
6,35,878
6,35,870
6,35,874
6,35,887
6,35,870
6,35,870
6,35,870
6,35,878
6,35,882
6,35,866
6,35,870
6,35,874
6,35,874
6,35,882
6,35,882
6,35,870
6,35,882
6,35,874
7,35,886
7,35,869
7,35,882
7,35,874
7,35,883
7,35,874
12,20,485
12,20,485
12,20,485
12,20,489
12,20,489
12,20,485
12,20,485
12,20,485
12,20,485
12,20,488
12,20,484
12,20,484
12,20,484
12,20,488
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,487
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,488
12,20,488
12,20,488
12,20,487
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
12,20,488
12,20,488
12,20,487
12,20,488
12,20,484
12,20,488
12,20,484
12,20,484
12,20,488
12,20,484
12,20,484
12,20,484
12,20,484
12,20,484
13,20,484
13,20,488
13,20,488
13,20,484
13,20,485
13,20,489
13,20,489
13,20,485
13,20,485
13,20,485
13,20,485
13,20,489
13,20,485
13,20,489
13,20,489
13,20,489
13,20,489
13,20,485
13,20,489
13,20,485
13,20,488
13,20,485
13,20,484
13,20,484
13,20,484
13,20,484
13,20,488
13,20,484
13,20,484
13,20,484
13,20,488
13,20,484
13,20,484
13,20,484
13,20,488
13,20,484
13,20,484
13,20,484
13,20,488
13,20,484
13,20,485
18,10,245
18,10,245
18,10,244
18,10,244
18,10,244
18,10,244
18,10,245
18,10,245
18,10,245
18,10,245
18,10,245
18,10,245
18,10,245
18,10,245
18,10,245
18,10,246
18,10,246
18,10,245
18,10,246
18,10,245
18,10,246
18,10,246
18,10,246
